model,acc,f1,roc_auc,exec_time
dummy,0.4993299685208308,0.49952008100610706,0.4993299685208308,6.18278169631958
logres,0.9626259606422454,0.9622257850076251,0.9626259606422453,10.323017835617065
sgd,0.9630638552309938,0.9625487465429406,0.9630638552309937,6.33243989944458
svc,0.9608726236744456,0.9602275266487549,0.9608726236744457,10.631176233291626
dt,0.9966709459578285,0.9966777641861927,0.9966709459578286,102.09601783752441
ada,0.9664351159805146,0.9661390417593648,0.9664351159805146,312.8921711444855
gb,0.9775724108822961,0.9773976353740387,0.9775724108822961,1549.3622198104858
rf,0.9997942423016725,0.9997942846291936,0.9997942423016725,947.0227510929108
xgb,0.9993141410055748,0.9993146110857264,0.9993141410055748,631.5788064002991
lgb,0.9985016618891018,0.9985036933484603,0.9985016618891019,23.514167308807373
mlp,0.9990872799535726,0.999088109047399,0.9990872799535725,150.1345558166504
